Agent Name,Agent Type,Sectors,Aliases
National Alliance,Group,Parties,National Alliance
National Anti-Corruption Commission,Group,Justice / Law Ministry,NACC || National Anti-Corruption Commission || CONAC
National Board of Revenue,Group,Finance / Economy / Commerce / Trade Ministry,National Board Of Revenue
National Congress,Group,Parties,National Congress
National Democratic Congress,Group,Parties,National Democratic Congress
National Democratic Front,Group,Parties,National Democratic Front || National Democratic Alliance
National Democratic Party,Group,Parties,National Democratic Party
National Economic Council,Group,Finance / Economy / Commerce / Trade Ministry,National Economic Council
National Education Committee,Group,Education Ministry,National Education Committee
National Front,Group,Parties,National Front
National Independence Party,Group,Parties,National Independence Party
National Intelligence Bureau,Group,Intelligence Ministry,National Intelligence Bureau || Secret Police || Spy Agency || Spy Ship
National Investment Committee,Group,Finance / Economy / Commerce / Trade Ministry,National Investment Committee
National Liberal Party,Group,Parties,National Liberal Party
National Party,Group,Parties,National Party || Peoples' National Party || Peoples National Party || People'S National Party
National Press,Group,Media || State Media,National Press
National Revolutionary Organization,Group,Rebel,National Revolutionary Organisation || National Revolutionary Organization
National Socialist Party,Group,Parties,National Socialist Party
National Union Party,Group,Parties,Union Nationale || National Union Party || National Union || Liberia National Union
National Unity Party,Group,Parties,National Unity Party
Naval,Group,Navy,Naval Ship || Naval || Landing Ship || Navy || Frigate || Naval Destroyer || Warship || Destroyer || Combat Ship || Capital Ship || Battleship
Naval Base,Group,Navy,Naval Base
Navy Personnel,Group,Navy,Ensign || Ens. || Commandant
New Alliance Party,Group,Parties,New Alliance Party || New Alliance
New Democratic Party,Group,Parties,New Democratic Party
New National Party,Group,Parties,New National Party
New Party,Group,Parties,New Party || People'S New Party || Peoples' New Party || Peoples New Party
News Station,Group,Media,News Station
Newspaper,Group,Media,Newspaper || News Journal || Gazette
NGOs Ministry,Group,NGO Ministry,Ngo Minist || Minist Of Ngos || Minist For Ngos || Ngos Minist
Observers In,Group,Foreign Ministry,Observers In
Office of the Unrepresentative,Group,Government,Office Of The Unrepresentative
Opposition Coalition,Group,Protestors / Popular Opposition / Mobs,Opposition Alliance || Opposition Faction || Opposition Coalition
Opposition Force,Group,Rebel,Opposition Force || Opposition Forces
Opposition Hindu Nationalist Party,Group,Hindu || Parties,Opposition Hindu Nationalist Party
Opposition Newspaper,Group,Protestors / Popular Opposition / Mobs,Opposition Editor || Opposition Newspaper || Opposition Publisher
Organized Crime,Group,Criminals / Gangs,Mobster || Organized Crime || Mafia || Mafioso || Mob Boss || Mafia Boss
Ossetian (Ethnic Group),Group,International Ethnic || National Ethnic,Ossetian || Ossetians
Other Authorities / Officials,Group,Government,Auditor General || High Ranking Officer || Semi-Official || Presidium || Public Relations Officer || Politburo Member || Palace Offcial || Politburo || Authorities || High Ranking Offical || Official Source || State Auditor General || Highly Ranking Official || High Official || State Commission || State Councilor || State Official
Oversight Court,Group,Judicial,Appellate Court || District Court || National Court
Paramilitary,Group,Unidentified Forces,Paramilitary
Paramilitary Police,Group,Unidentified Forces,Paramilitary Police
Party Alliance,Group,Parties,Party Alliance
Party of Democrats,Group,Parties,Party Of Democrats
Party of Forces,Group,Parties,Party Of Forces
Party's Military Wing,Group,Rebel,Party'S Military Wing
Patent Office,Group,Finance / Economy / Commerce / Trade Ministry,Patent Office
Peacekeeping Troop,Group,Military,Peacekeeping Troop || Truce Monitor
People Associated with the Opposition,Group,Protestors / Popular Opposition / Mobs,People Associated With The Opposition || Political Wing || Parallel Government || The Opposition || Political Alliance
People's Action Party,Group,Parties,People'S Action Party || Peoples Action Party || Peoples' Action Party
People's Committee,Group,Government,People'S Committee || Peoples Committee || Peoples' Committee
People's Congress,Group,Parties,Peoples Congress || People'S Congress || Peoples' Congress
People's Democratic Party,Group,Parties,People'S Democratic Party || Peoples' Democratic Party || Peoples Democratic Party
People's Party,Group,Parties,People'S Party || Peoples Party || Peoples' Party
Pharmaceutical Firm,Group,Medical / Health NGOs,Pharmaceutical Firm || Pharmaceutical Company
Pirate Party,Group,Parties,Pirate Party
Planning and Development,Group,Women / Children / Social / Welfare / Development / Religion Ministry,Minist For Planning And Development || Construction Minist || Minist Of Equipment || Minist For National Development || National Planning And Economic Development Minist || Minist Of Planning || Minist Of Human Development || Minist For Planning || Minist For Equipment || Minist For Construction || Minist Of National Planning And Economic 
Planning Commission,Group,Management / Budget / Planning / Organization Ministry,Planning Commission
Political Parties,Group,Parties,Political Party || Political Parties || Peoples' Political Party || People'S Political Party || Peoples Political Party
Polynesian,Group,National Ethnic,Polynesian
Popular Alliance,Group,Parties,Popular Alliance
Popular Party,Group,Parties,Popular Party
Population,Group,General Population / Civilian / Social,Population
Post and Telecommunication Ministry,Group,Post / Tecoms Ministry,Post And Telecommunications Minist || Post And Telecommunication Minist
Postal Department,Group,Post / Tecoms Ministry,Postal Department
Presidential Family,Group,Elite,President'S Husband || President'S Spouse || President'S Child || First Lady || President'S Wife
Presidential Ministry,Group,Executive Office,Minist Of The General Secretariat Of The Presidency || Minist Secretarã�A General De La Presidencia || Minist General Secretariat Of The Presidency
Presidential Press Service,Group,Executive Office,Press Secretary || Presidential Press Service
Private Armies,Group,Unidentified Forces,Private Security Force || Private Armies || Private Army
Privatization Commission,Group,Finance / Economy / Commerce / Trade Ministry,Privatization Commission || Privitization Commission
Pro Democracy Group,Group,Protestors / Popular Opposition / Mobs,Pro Democracy Group
Progressive Democratic Party,Group,Parties,Progressive Democratic Party
Progressive Liberal Party,Group,Parties,Progressive Liberal Party
Progressive Party,Group,Parties,Peoples Progressive Party || People'S Progressive Party || Progressive Party || Peoples' Progressive Party
Protestant Missionaries,Group,National Religious || Protestant,Protestant Missionar
Provincal Office,Group,Provincial,Provincal Office
Provincial Officials,Group,Provincial,Provincial Officials
Provisional Government,Group,Government,Provisional Government
Public Courts,Group,Judicial,Tribunal || Civil Courts || People'S Court || Adjudication Court
Public Sector,Group,State Owned Enterprises,State-Owned || Public Sector
Public Service Ministry/Department,Group,Women / Children / Social / Welfare / Development / Religion Ministry,Minist Of Public Service || Minist Of Veterans Affairs || Minist Of Public Service And Administrative Reform || Public Service Commission || Minist For Veterans Affairs || Minist For Public Service And Administrative Reform || Minist For Public Service
Public Works,Group,Housing / Construction Ministry,Housing And Public Works Minist || Public Works Minist || Minist For Public Works || Minist For Works || Minist De Obras Pãšblicas Servicios Y Vivienda || Minist Of Public Works Services And Housing || Minist Of Public Works || Minist For Progress || Minist Of Reconstruction || Minist Of Works
Radical Democratic Party,Group,Parties,Radical Democratic Party
Radical Leftist Group,Group,Radicals / Extremists / Fundamentalists,Radical Leftist Group
Radical Liberal Party,Group,Parties,Radical Liberal Party
Radical Party,Group,Parties,Radical Party
Reactionaries,Group,Radicals / Extremists / Fundamentalists,Reactionaries
Rebel Delegation,Group,Rebel,Rebel Delegation
Rebel Group,Group,Rebel,Rebel Base || Armed Rebel Group || Rebel Army || Rebel Armies || Rebel Force || Rebel Group
Rebel Source,Group,Rebel,Rebel Source
Reform Party,Group,Parties,Reform Party || People'S Reform Party || Peoples' Reform Party || Peoples Reform Party
Regulatory Body,Group,Government,Regulatory Body
Religion,Group,National Religious,Pastor || Unitarian || Nun || Religious Group || Missionary || Worshipper || Missionaries || Worshiper || Religious Organisation || Saint || Religion || Church Official || Religious Organization
Religious Affairs,Group,Government Religious,Religious Affairs Bureau || Religious Affairs Minist || Minist For Home And Religious Affairs || Minist For Religious Affairs || Home And Religious Affairs Minist || Minist Of Religious Affairs
Religious Court,Group,Religious Court,Religious Court
Representative Assembly,Group,Legislative / Parliamentary,Representative Assembly
Representative's Council,Group,Legislative / Parliamentary,Representative'S Council
Representatives,Group,Legislative / Parliamentary,Representatives
Republican Party,Group,Parties,Republican Party
Republican People's Party,Group,Parties,Republican People'S Party || Republican Peoples' Party || Republican Peoples Party
Reserve Personnel,Group,Military,Military Support Personnel || Reservist || Guard Command || Military Reserve || Coast Guard Patrols || Coast Guard || Army Reserve || Border Guard || Reserve Officer || Border Security
Residents of the Capital,Group,General Population / Civilian / Social,Residents Of The Capital
Resistance Group,Group,Rebel,Resistance Armies || Resistance Group
Resistance Movement,Group,Protestors / Popular Opposition / Mobs,Resistance Movement || Revolutionary Front || Resistance Army || Revolutionary Movement
Retired,Group,Elite,Retired
Revolutionary Communist League,Group,Communist || Parties,Revolutionary Communist League
Revolutionary Communist Party,Group,Communist || Parties,Revolutionary Communist Party
Revolutionary Party,Group,Parties,Revolutionary Party || Peoples' Revolutionary Party || People'S Revolutionary Party || Peoples Revolutionary Party
Right Wing Coalition,Group,Parties,Right Wing Coalition
Royal Administration,Group,Government,Head Of State || Constitutional Monarcy || King || Monarch || Emperor || Royal Administration || Royal Coalition Government || Royal Palace || Kingdom || Royal Government || Crown Prince || Princess || Empress || Sovereign || Prince
Royal Court,Group,Judicial,Royal Court
Ruling Alliance,Group,Government Major Party (In Government),Ruling Alliance
Ruling Coalition,Group,Government Major Party (In Government),Ruling Coalition
Ruling Faction,Group,Government,Ruling Party Mp || Ruling Party Senator || Ruling Faction
Ruling Military Government,Group,Defense / Security Ministry,Military Regime || Military Junta || Ruling General || Ruling Military Government || Military Government
Ruling Parties,Group,Government Major Party (In Government),Ruling Parties
Ruling Party,Group,Government Major Party (In Government),Ruling Party
Sadhu,Group,Hindu || National Religious,Sadhu
Seamen,Group,Navy,Seamen
Securities Exchange,Group,Business,Securities Exchange
Security Council,Group,Defense / Security Ministry,Minist For Security || State Security Council || Secretary Of Security Council || Security Council || Minist Of Security
Senate,Group,Upper House,Senators || Senate Of The Republic || Federal Executive Council || National Council || Federal Legislative Council || Federation Council || Upper House || Senate Delegation || Council Of The Union || Delegation Of The Senate || Federal National Council || Senate || Senator
Sex Trade,Group,Criminals / Gangs,Whorehouse || Brothel || Whore House || Call Girl || House Of Prostitution || Prostitute || Whore || Bordello || Sex Worker || House Of Ill Repute
Sharia Court,Group,Muslim || Religious Court,Shariah Court || Sharia Court
Sleeper Cell,Group,Radicals / Extremists / Fundamentalists,Sleeper Cell
Social Democratic Party,Group,Parties,Democratic Socialist Party || Social Democratic Union || Social Democratic Party || The Social Democratic Party || Social Democrats
Social Liberal Party,Group,Parties,Social Liberal Party
Social Party,Group,Parties,Social Party || Peoples' Social Party || People'S Social Party || Peoples Social Party
Socialist Labor Party,Group,Parties,Socialist Labour Party || Socialist Labor Party
Socialist Party,Group,Parties,Socialist Party
Socialist Workers' Party,Group,Parties,Socialist Workers' Party || Socialist Worker'S Party || Socialist Workers Party
Sole Political Party,Group,Government,Sole Political Party
Space Agency,Group,Science / Tech / Knowledge / Innovation Ministry,Space Agency
Special Commission,Group,Government,Special Commission
Special Court,Group,Judicial,Special Court
Spokesman for the Opposition,Group,Protestors / Popular Opposition / Mobs,Spokesman For The Opposition
State Duma,Group,Legislative / Parliamentary,State Duma || Gosduma
State General Hospital,Group,Health Ministry,State Hospital || State General Hospital
State Media,Group,State Media,State Run Media || State Run Television || State-Owned Television || National News Agency || State-Owned Media || State-Owned News Agency || State News Agency || Official News Agency || State Media || State Run Tv
State Owned Business,Group,Finance / Economy / Commerce / Trade Ministry,State Owned Insurance Enterprise || State Owned Enterprise
State Owned Industrial Unit,Group,Finance / Economy / Commerce / Trade Ministry,State Owned Industrial Unit
State Security Court,Group,Military / Tribunal,State Security Court
Stieng,Group,National Ethnic,Stieng
Strategic Service,Group,Military,Strategic Service
Student Army,Group,Rebel,Student Army
Supreme Council,Group,Cabinet,Supreme Council
Tamil,Group,General Population / Civilian / Social || Tamil,Tamil
Telecommunication Board,Group,Information / Communication / Transparency Ministry,Telecommunication Board
Tenants,Group,General Population / Civilian / Social,Tenants
Terrorist Insurgent Group,Group,Rebel,Terrorist Insurgent || Terrorist Insurgent Group || Terrorist Insurgent Organization
Terrorist Organization,Group,Rebel,Terrorist Organization || Terrorist Organisation
The Daily News,Group,Media,The Daily News
The Poor,Group,General Population / Civilian / Social,The Poor
The Voice,Group,Media,The Voice
Tourist Board,Group,Tourism Ministry,Tourist Board
Transport,Group,Business,Transport Compan || Merchant Vessel || Cargo Ship || Freighter || Tanker || Cargo Vessel || Tank Ship || Merchant Ship
Transport and Communication,Group,Information / Communication / Transparency Ministry,Transport And Communication Minist || Minist For Rail Transport || Minist Of Rail Transport || Minist For Transport || Minist For Transport And Communication || Rail Transport Minist || Transport Minist || Minist For Communications || Minist Of Communications || Transportation Minist || Minist Of Transport
Transportation Ministry/Department,Group,Transportation Ministry,Minist Of Roads And Transport || Dept Of Transportation || Port Authorit || Minist For Roads And Transport || Transport Authority
Treasury/Finance Ministry,Group,Finance / Economy / Commerce / Trade Ministry,Minist For Economic Affairs And Finance || Financial Secretary || Finance Administration Minist || Minist Of National Economy || Minist Of Economy And Public Finance || Minist Of Economic Affairs || Minist Of Economy And Planning || Finance Official || Minist For Finance Services || Finance Minist || Minist Of The Treasury || Minist Of Fin
Uighur,Group,National Ethnic || Uyghur,Uyghur || Uygur || Uighur
Underground Army,Group,Rebel,Underground Force || Underground Army
Underground Opposition,Group,Dissident,Underground Opposition
Unidentified Forces,Group,Unidentified Forces,Unidentified Forces
Unification Ministry,Group,Interior / Home Ministry,Special Affairs Of Tribes People Minist || Minist For Special Affairs Of Tribes People || Progress Of Border Areas And National Races And Development Affairs Minist || Unification Minist
Union of Democratic Forces,Group,Parties,Union Of Democratic Forces
Union of Forces,Group,Parties,Union Of Forces
Unionist Party,Group,Parties,Unionist Party
United Democratic Party,Group,Parties,United Democratic Party
United Left,Group,Parties,United Left
United Party,Group,Parties,United Party || People'S United Party || Peoples United Party || Peoples' United Party
United People's Party,Group,Parties,United People'S Party || United Peoples Party || United Peoples' Party
United Workers' Party,Group,Parties,United Workers' Party || United Workers Party || United Worker'S Party
Unity Party,Group,Parties,Unity Party || Peoples Unity Party || People'S Unity Party || Peoples' Unity Party
Unspecified Opposition,Group,Protestors / Popular Opposition / Mobs,Unspecified Opposition
Urban Guerillas,Group,Rebel,Urban Guerillas
Veterans,Group,General Population / Civilian / Social,Veterans Who Fought || Soldiers' Families || Veterans
Violent Group,Group,Unidentified Forces,Violent Group
Vvips,Group,Elite,Vvips
Women,Group,General Population / Civilian / Social,Woman || Women
Women and Children Affairs Ministry,Group,Women / Children / Social / Welfare / Development / Religion Ministry,Women And Children Affairs Minist
Worker Communist Party,Group,Communist || Parties,Worker Communist Party
Workers' League,Group,Parties,Workers' League || Worker'S League || Workers League
Workers' Party,Group,Parties,Workers' Party || Workers Party || Worker'S Party
World Socialist Party,Group,Parties,World Socialist Party
Youth and Sports Ministry,Group,Women / Children / Social / Welfare / Development / Religion Ministry,"Minist For  Youth And Sports || Minist For Youth And Sport || Minist Of Youth And Sport || Youth And Sports Minist || Minist For Youth, Sports And Recreation || Minist Of Sports And Youth Affairs || Minist Of Sports & Youth || Minist Of Gender And Youth, Sports And Recreation || Minist Of Youth, Sports And Recreation || Minist For Sports |"
Abbot,Individual,National Religious,An Abbot || The Abbot
Activist,Individual,Human Rights IGOs || Human Rights NGOs,Activist
Actor,Individual,Elite,Actor
Admiral,Individual,Navy,Admiral
Air Force Chief,Individual,Air Force,Air Force Chief || Air Force Commander In Chief
Air Marshall,Individual,Military,Air Marshal
Aircraft Carrier,Individual,Air Force,Aircraft Carrier
Airman,Individual,Military,Airman
Anti Government Activist,Individual,Protestors / Popular Opposition / Mobs,Anti Government Political Activist || Anti Government Activist
Anti Government Insurgent,Individual,Rebel,Anti Government Insurgent
Anti Military Activist,Individual,Protestors / Popular Opposition / Mobs,Anti Military Activist
Archbishop,Individual,National Religious,Archbishop
Armed Insurgent,Individual,Rebel,Armed Insurgent
Armed Professional,Individual,Unidentified Forces,Armed Professional
Armed Rebel,Individual,Rebel,Rebel Soldier || Rebel || Rebel Commando || Armed Rebel
Armed Separatist,Individual,Separatists,Armed Separatist || Armed Separatist Movement || Liberation Forces || Liberation Movement || Liberation Front || Liberation Army || Army For The Liberation
Armed Services Deserter,Individual,Exiles,Deserter || Army Deserter || Military Defector || Mutineer || Military Deserter || Navy Deserter
Armed Tribal Rebel,Individual,International Ethnic || Rebel,Armed Tribal Rebel
Army Chief of Staff,Individual,Army,Army Chief Of Staff || Chief Of Staff Of The Army || Army General Chief Of Staff
Associate Justice,Individual,Judicial,Associate Justice
Asylum Seeker,Individual,Refugees / Displaced,Asylum Seeker
Attack Craft,Individual,Military,F 16 || F 16 Jet || Combat Plane || F 22 Raptor || F 35 || F 22 || F 15 || Combat Aircraft || Jet Fighter || Attack Craft || Combat Jet || Joint Strike Fighter
Attack Helicopter,Individual,Military,Combat Helicopter || Attack Helicopter || Attack Helicopters
Attacker,Individual,Criminals / Gangs,Attacker || Ambusher || Mugger || Assaulter || Assailant || Aggressor
Attorney General,Individual,Judicial,Solicitor General || Attorney General
Believer,Individual,National Religious,Believer
Bishop,Individual,National Religious,Bishop
Blogger,Individual,Media,Bloggers || Blog || Blogger || Blogs
Buddhist,Individual,Buddhist || National Religious,Buddhist Clergymen || Buddhist Clergyman || Buddhist || Buddhist Clergy || Buddhist Priest
Buddhist Monk,Individual,Buddhist || National Religious,Buddhist Monk
Buddhist Rebel,Individual,Buddhist || Rebel,Buddhist Rebel Group || Buddhist Rebel
Buddhist Rebel Leader,Individual,Buddhist || Rebel,Buddhist Rebel Leader
Buddhist Student,Individual,Buddhist || National Religious,Buddhist Student
Buddhist Warrior,Individual,Buddhist || Rebel,Buddhist Warrior
Bureaucrat,Individual,Government,Bureaucrat
Businessperson,Individual,Business,Business Tycoon || Business Men || Corporate Executive || Business Woman || Businessman || Business Person || Businesswoman || Business Women || Business Executive || Businessmen || Businessperson || Businesswomen || Business Man || Business Leader
Catholic Bishop,Individual,Catholic || National Religious,Catholic Bishop
Catholic Monk,Individual,Catholic || National Religious,Catholic Monk
Catholic Priest,Individual,Catholic || National Religious,Catholic Priest
Catholic Saint,Individual,Catholic || National Religious,Catholic Saint
Charge D'affaires,Individual,Foreign Ministry,Charge D'Affaires
Chief Court Judge,Individual,Judicial,Chief Justice Of The Supreme Court || Chief Justice || Chief Court Judge
Chief Engineer,Individual,General Population / Civilian / Social,Chief Engineer
Chief of Intelligence,Individual,Intelligence Ministry,Chief Of Intelligence
Chief of Staff,Individual,Executive Office,Chief Of Staff
Chief of the Air Force,Individual,Air Force,Chief Of The Air Force
Christian,Individual,National Religious || Christian,Christian || Christian Saint
Christian Clergymen,Individual,National Religious || Christian,Christian Clergyman || Christian Clergymen
Christian Monk,Individual,National Religious || Christian,Christian Monk
Christian Priest,Individual,National Religious || Christian,Christian Priest
Christian Rebel Leader,Individual,Rebel || Christian,Christian Rebel Leader
Citizen,Individual,General Population / Civilian / Social,Resident || Civilian || Voter || Peasant || Naturalized || Citizen || Tribal Elder || Volunteer || People || Family || Bus Driver || Motorist || Cult || Others || Anarchist || Faction || Tribesman || Hostage || Individuals || Tribesmen || Victim || Supporter || Shepherd || Prisoner || Crowd || Person || Bodyguard || Security Guard || Taxi 
City Manager,Individual,Government,City Manager
City Mayor,Individual,Municipal,Mayor || City Mayor
Civil Servant,Individual,Government,Civil Servant
Cleric,Individual,National Religious,Cleric
Combatant,Individual,Unidentified Forces,Combatant || Enemy Combatant || Fighter
Commander in Chief of,Individual,Military,C In C Of
Commander In Chief Of The Air Force,Individual,Air Force,Office Of The Air Force Commander In Chief || Commander In Chief Of The Air Force
Commander in Chief of the Navy,Individual,Navy,Commander In Chief Of The Navy
Commando,Individual,Military,Commando
Communist Rebel,Individual,Communist || Insurgents,Communist Rebel
Container Ship,Individual,Transportation Business,Container Ship || Container Vessel || Containership
Coup D'etat Leader,Individual,Insurgents,Coup D'Etat Leader || Coup Maker || Coup Leader || Coup Plotter
Criminal,Individual,Criminals / Gangs,Illicit Drug Industr || Gang || Crime Ring || Swindler || Suspect || Inmate || Hijacker || Rapist || Drug Trafficker || Arsonist || Armed Bandit || Criminal Ring || Pirate || Bandit || Felon || Smuggler || Conman || Human Trafficker || Thug || Trafficker || Gangster || Arms Dealer || Criminal || Outlaw || Forger || Pedophile || Extortionis
Customs Official,Individual,Government,Customs Official || Customs Personnel || Customs Officer
Dacoit,Individual,Criminals / Gangs,Dacoit || Dakoit
Defector,Individual,Exiles,Defector
Defense Attorney,Individual,Judicial,Defence Attorney || Defense Attorney || Defense Lawyer || Defence Lawyer
Degar,Individual,NULL,Degar
Democratic Opposition Leader,Individual,Protestors / Popular Opposition / Mobs,Pro Democracy Movement || Pro Democratic Leader || Pro Democracy Political Activist || Democratic Opposition Leader || Pro Democracy Leader
Detainee,Individual,Protestors / Popular Opposition / Mobs,Detainee || Political Prisoner || Political Detainee
Director General,Individual,Government,Director General
Dissident,Individual,Dissident,Dissident
District Commissioner,Individual,Provincial,District Commissioner
Drug Dealer,Individual,Criminals / Gangs,Crack Dealer || Drug Pusher || Meth Dealer || Drug Dealer
Economist,Individual,Education,Economist
Education Official,Individual,Education Ministry,Education Official
Employee,Individual,Labor,Transport Worker || Worker || Transportation Worker || Employee || Day Labourer || Day Laborer
Enemy Insurgent,Individual,Rebel,Enemy Insurgent
Engineer,Individual,General Population / Civilian / Social,Engineer
Environmentalist,Individual,Nongovernmental Organizations / Activists || Environment IGOs,Environmentalist
Envoy,Individual,Foreign Ministry,Envoy || Special Envoy || Envoy To D || Envoy To X || Envoy To B || Envoy To The B || Envoy To The K || Envoy To J || Envoy To The G || Envoy To S || Envoy To The T || Envoy To K || Envoy To The F || Envoy To H || Envoy To F || Envoy To The H || Envoy To The O || Envoy To The L || Envoy To The C || Envoy To The X || Envoy To I || Envoy To 
Ethnic Rebel,Individual,International Ethnic || Rebel,Ethnic Minority Rebel || Ethnic Rebel
Exiled Prime Minister,Individual,Exiles,Exiled Prime Minister || Prime Minister In Exile || Leader In Exile || Exiled Leader
Expatriate,Individual,Refugees / Displaced,Expatriate || Expat
Extremist,Individual,Radicals / Extremists / Fundamentalists,Fanatic || Extemist Soldier || Fanatics || Radical Group || Extremist || Radical Leader || Radical Sect
Farm Worker,Individual,Agricultural,Farm Worker || Subsistence Farmer || Farmer || Tenant Farmer || Farm Labourer || Farm Laborer || Indigenous Farmer || Agriculturalist || Agriculturist
Federal Judge,Individual,Judicial,Federal Judge
Fighter Bomber,Individual,Military,Fighter Bomber || Fighter Jet || Fighter Plane
Freedom Fighter,Individual,Rebel,Freedom Fighter
General Contractor,Individual,Business,General Contractor
Government Defector,Individual,Exiles,Government Defector
Government Employer,Individual,State Owned Enterprises,Government Employer || Government Run Firm
Government Lawmaker,Individual,Government Major Party (In Government),Government Lawmaker
Government Lawyer/Representative,Individual,Justice / Law Ministry,State Prosecutor General || Prosecutor General || Advocate General
Government Official,Individual,Government,Government Representative || Government Spokesman || Government Official
Governor,Individual,Provincial,Governor || State Governor
Governor General,Individual,Government,Governor General
Guerrilla,Individual,Rebel,Guerrilla || Guerrila
Guerrilla Leader,Individual,Rebel,Guerrilla Leader || Guerrilla Leadership || Guerilla Leader
Gun Runner,Individual,Criminals / Gangs,Gun Runner || Arms Runner || Gunrunner || Arms-Runner
Hacker,Individual,Criminals / Gangs,Cyber Criminal || Hacker || Cybercriminal || Hacktivist
Head of Government,Individual,Executive Office,The Pm || Chancellor || Chancellery || Premier || State Leader || Prime Minister || President || Prime Minster || Head Of Government || President/Leading Executive || Paramount Ruler || Head Of State || Executive Department || Chief Of State
Herdswoman,Individual,Agricultural,Herdswoman
Hindu,Individual,Hindu || National Religious,Hindu || Hindu Pilgrim || Hindu Saint
Hindu Hardliner,Individual,Hindu || International Radicals / Extremists / Fundamentalists || National Religious,Hindu Hardliner
Hindu Monk,Individual,Hindu || National Religious,Hindu Monk
Hindu Priest,Individual,Hindu || National Religious,Hindu Priest
Hindu Rebel Leader,Individual,Hindu || Rebel,Hindu Rebel Leader
Hitman,Individual,Criminals / Gangs,Hitman || Hit Squad || Hit Man
Holy Man,Individual,National Religious,Holy Man || Holy Person
House Speaker,Individual,Legislative / Parliamentary,House Speaker
Human Rights Activist,Individual,Human Rights IGOs || Human Rights NGOs,Human Rights Activist
Human Rights Leader,Individual,Human Rights IGOs || Human Rights NGOs,Human Rights Leader || Human Rights Society
Hunter,Individual,General Population / Civilian / Social,Hunter
Illegal Immigrant,Individual,Criminals / Gangs,Illegal Migrant || Undocumented Migrant || Undocumented Immigrant || Undocumented Worker || Sans Papier || Illegal Immigrant
Inspector General,Individual,Police,Inspector General
Insurgent,Individual,Rebel,Rebel Insurgent || Insurgent
Insurgent Leader,Individual,Rebel,Insurgent Leadership || Insurgent Leader || Insurgency Leader
Intellectual,Individual,Education,Intellectual
Intelligence Chief,Individual,Intelligence Ministry,Intelligence Chief
Intelligence Officer,Individual,Intelligence Ministry,Intelligence Officer
Interim Leader,Individual,Government,Interim President || Interim Leader
International Terrorist,Individual,Rebel,International Terrorist || Foreign Terrorist Organization
Islamic Cleric,Individual,National Religious || Muslim,Islamic Cleric
Islamic Militant,Individual,Rebel || Muslim,Islamic Militant || Muslim Militant
Islamic Preacher,Individual,National Religious || Muslim,Islamic Preacher || Imam || Mullah || Islamist Cleric
Islamic Rebel,Individual,Rebel || Muslim,Muslim Rebel Group || Muslim Separatist Rebel || Islamic Rebel Group || Moslem Extremist || Islamic Rebels || Muslim Rebel || Islamic Rebel
Islamic Rebel Leader,Individual,Rebel || Muslim,Muslim Rebel Leader || Islamic Rebel Leader
Jew,Individual,National Religious || Jewish,Jews || Jew
Kidnapper,Individual,Criminals / Gangs,Kidnapper || Abductor || Kidnabber || Kidnaper
Labor Activist,Individual,Labor NGOs,Labour Activist || Labor Activist
Landowner,Individual,General Population / Civilian / Social,Landowner
Lawmaker,Individual,Legislative / Parliamentary,Lawmaker || Legislator
Lawyer/Attorney,Individual,Legal,Attornies || Lawyer || Prosecutor || Barrister || Attorney || Magistrate || Criminal Barrister
Leading Religious Authority,Individual,National Religious,Leading Religious Authorit
Looter,Individual,Criminals / Gangs,Looter
Maronite,Individual,National Religious || Maronite,Maronite
Medical Personnel,Individual,Medical / Health NGOs,Doctor || Physician || Health Care Provider || Health Provider || Medical Personnel || Medical Man || General Practitioner || Medical Specialist || Medico || Surgeon || Medical Social Worker || Midwife || Health Professional || Medical Practitioner
Member of Legislative (Govt),Individual,Legislative / Parliamentary,Speaker Of Parliament || Speaker Of The House || Speaker Of Legislature || Leader Of Parliament || MLA
Member of Parliament,Individual,Legislative / Parliamentary,Mps || Member Of Parliament || Members Of Parliament || MP || Member Of The Parliament || Members Of The Parliament || Parliament Member
Member of the Judiciary,Individual,Judicial,Procuratorate || Council Of Judges || Supreme People  Court || Judiciary || High Court || Federal Supreme Court || Justice System || Supreme Court || Judicial Branch || Court Supreme || Federal Court
Mendicant,Individual,National Religious,Mendicant
Militant,Individual,Unidentified Forces,Militant
Militant Monk,Individual,Rebel,Militant Priest || Militant Monk
Military Advisor,Individual,Military,Military Authorities || Military Advisor || Military Authority || Military Adviser
Military Coup D'etat Leader,Individual,Insurgents,Military Coup Leader || Military Coup D'Etat Leader
Military Judge,Individual,Military,Military Judge || Military Tribunal || Military Justice
Military Ruler,Individual,Defense / Security Ministry,Military Dictator || Military Rule
Minister Without Portfolio,Individual,Cabinet,Minister Without Portfolio
Mujahideen,Individual,International Insurgents || Insurgents,Mujahideen
Murderer,Individual,Criminals / Gangs,Murderer || Killers || Serial Killer
Muslim,Individual,National Religious || Muslim,Muslim Settler || Muslim Pilgrim || Moslem Settler || Moslem || Muslim Saint || Muslim Migrant || Muslim || Moslem Pilgrim || Moslem Migrant || Moslem Saint
Muslim Cleric,Individual,National Religious || Muslim,Moslem Cleric || Muslim Cleric
Muslim Doctor,Individual,National Religious || Muslim,Muslim Doctor || Moslem Doctor
Narco-terrorist,Individual,Organized Violent,Narcoterrorist || Narco Terrorist || Narco-Terrorist
